name,length,gc,cov1,cov1r,cov1dr,cov2,cov2r,cov2dr,cov3,cov3r,cov3dr,cov4,cov4r,cov4dr,cov5,cov5r,cov5dr,cov6,cov6r,cov6dr,cov7,cov7r,cov7dr,cov8,cov8r,cov8dr,cov9,cov9r,cov9dr,totalCoverage,avgCoverage,PC1,PC2,PC3,PC4,PC5,PC1r,PC2r,PC3r,PC4r,PC5r,refphylum,reftax,refseq.assignments,essphylum,esstax,essassignments,NoEss,PreBinID,BinAvgCov,GenomeSize,Taxon,Completeness,Contamination,Connections
12152,2965,65.86,11.5218,12,12,13.2632,14,14,17.6327,18,18,23.8234,26,24,13.4821,14,14,31.66,32,32,10.346,12,11,8.47105,9,9,31.4185,32,32,161.618,17.95756,-0.24472050518049,0.290862473127621,-0.0587753229800692,0.27478610475916,-0.0405139220870619,-0.219009653365,0.32492085782,-0.0357838656433,0.301178267501,-0.0295521271288,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria,NA,-1,NA,0,145,13.988370962343096,69.8,c__Betaproteobacteria,95.29628888222788,1.2638230647709319,0
9803,8651,41,0.21174,1,1,0.0705799,1,1,0.370545,1,1,0.52935,1,1,0.24703,1,1,4.65392,5,5,2.53405,3,3,4.04494,5,5,1.89095,2,2,14.5531,1.61701,-0.102190010395733,0.0812331343588401,-1.36581899162517e-05,0.0931755024432565,0.050073035455104,-0.0939704481291,0.113290606873,0,0.120561869691,0.0645540634781,Chloroflexi,2,Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi,Chloroflexi,2,Chloroflexi,1,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
7386,5597,62.23,1.98274,2,2,1.44887,2,2,6.25482,7,7,10.3545,12,11,9.00073,10,10,34.6952,35,36,24.5436,26,26,19.1487,20,20,41.8368,44,42,149.266,16.58511,-0.242409756575139,0.0895075256395418,0.331049818680766,-0.341831902630785,0.133698445834829,-0.219009653365,0.113290606873,0.336355018125,-0.330979124836,0.135133706433,Proteobacteria,1,Proteobacteria;Deinococcus-Thermus;Proteobacteria,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
33283,4173,57.3,6.07507,7,7,6.62018,7,7,4.92195,5,5,8.09595,9,9,17.1064,18,18,40.8916,41,42,7.29754,8,8,5.5123,6,6,6.50137,7,7,103.022,11.44689,0.0949207972846803,-0.39144880320097,-0.423599979836563,-0.306629195111404,0.222170119717013,0.114428227264,-0.362877457757,-0.407922749412,-0.300876391867,0.22923989704,Proteobacteria,1,Proteobacteria,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
34122,2941,47.89,7.0258,8,8,7.87675,8,8,5.1057,6,6,7.70011,8,8,17.3189,18,18,36.3232,38,38,6.74597,7,7,4.02257,5,5,7.33966,8,8,99.4586,11.05096,0.0219078259377507,-0.169985821222281,-0.405917735494932,-0.296954011861459,0.261669431074473,0.0310687571068,-0.15124720681,-0.37929668143,-0.270773658899,0.276292992344,Chloroflexi,2,Chloroflexi,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
14063,3331,65.35,40.7598,41,42,7.60138,8,8,3.68249,4,4,1.39799,2,2,2.31059,3,3,1.55611,2,2,0.850047,1,1,0.723357,1,1,2.07356,3,3,60.9554,6.77282,-0.112862501824457,-0.247286081857484,-0.478154664483983,0.01254951253346,0.56423239389096,-0.0939704481291,-0.204154769547,-0.465174885376,0.0302536707855,0.582138111816,NaRef,NaRef,NaRef,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
1459,13347,41.37,1.76942,2,2,1.12526,2,2,6.68788,7,7,9.36182,10,10,8.80927,9,9,34.5379,35,36,25.5764,26,26,18.9365,20,19,41.1882,44,42,147.993,16.44367,-0.280086812413411,0.204526584220211,0.23283466943959,-0.236692954143989,0.313880547538564,-0.260689388444,0.219105732346,0.250476814179,-0.210568192962,0.323346087647,Gemmatimonadetes,787,Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadetes,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
28289,4955,65.26,5.71821,6,6,5.83143,6,6,4.6435,5,5,7.93382,8,8,17.1232,18,18,30.2991,32,32,5.52008,6,6,3.91342,4,4,4.80604,5,5,85.7888,9.53209,0.203308297917852,-0.31070810106991,-0.230152765335936,-0.171471785790899,0.184444770974314,0.2394674325,-0.30996989502,-0.207540273537,-0.150362727025,0.205713349388,NaRef,NaRef,NaRef,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
21835,2957,62.59,46.1567,47,48,8.37691,9,9,4.8062,5,5,2.51158,3,3,2.60848,3,3,2.22373,3,3,0.890631,1,1,0.712504,1,1,1.3616,2,2,69.6484,7.73871,-0.108691546935162,-0.128265565572012,-0.271690914910511,0.14091361334293,0.301300370769094,-0.0939704481291,-0.0983396440735,-0.264792409501,0.150664602659,0.323346087647,Cyanobacteria,9,Cyanobacteria,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
41065,13307,66.82,6.10025,7,7,9.87246,10,10,13.8563,14,14,18.4211,20,19,12.6172,14,13,31.319,32,32,9.6329,10,10,8.4691,9,9,29.469,32,30,139.757,15.52856,-0.272421057113193,0.218706065417665,-0.303388187918125,0.208465693865436,0.0102511934006461,-0.260689388444,0.219105732346,-0.293418477483,0.210870068596,0.0175009681747,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,Proteobacteria,1,Proteobacteria,1,145,13.988370962343096,69.8,c__Betaproteobacteria,95.29628888222788,1.2638230647709319,0
37445,5623,68.08,2.07053,3,3,1.28814,2,2,8.15348,9,9,10.4014,12,11,10.0925,12,11,39.3879,41,40,33.4339,35,34,24.2244,26,26,50.1034,55,52,179.156,19.90622,-0.154633887603905,-0.0116958913547661,0.085664836430495,-0.0416980317630461,0.161699319220209,-0.135650183208,0.00747548139982,0.107346474268,-0.0299517951514,0.182186801737,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
28651,2647,58,49.4646,50,50,11.5747,12,12,5.26992,6,6,2.15899,3,3,2.69043,3,3,1.68202,2,2,0.889067,1,1,1.0012,2,2,1.65198,2,2,76.3829,8.48699,0.012273148638198,-0.21058807312495,-0.214713275983637,0.200460472253883,0.405760722687474,0.0310687571068,-0.204154769547,-0.207540273537,0.210870068596,0.417452278254,NaRef,NaRef,NaRef,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
4401,8109,64.69,51.6346,55,52,21.8201,23,22,10.2314,12,11,5.97437,6,6,8.29262,9,9,6.30745,7,7,0.459605,1,1,0.587385,1,1,0.346023,1,1,105.654,11.73933,0.00471925643035552,-0.278518368089969,-0.344720245609693,0.0842252813377034,0.165992702952993,0.0310687571068,-0.257062332283,-0.322044545465,0.0904591367224,0.182186801737,Chloroflexi,2,Chloroflexi;Chloroflexi,NA,-1,NA,0,143,11.408934571428574,60.8,k__Bacteria,86.17814508723599,1.0606060606060606,783
33463,3283,58.92,47.5551,50,48,6.82094,7,7,3.78232,4,4,2.75359,3,3,2.21321,3,3,1.96297,2,2,0.499202,1,1,0.478774,1,1,1.14076,2,2,67.2068,7.46742,-0.0289945038433299,-0.268861352442795,-0.432717107214126,-0.131340262013846,0.313768003819971,-0.0106109779718,-0.257062332283,-0.407922749412,-0.120259994057,0.323346087647,Chloroflexi,2,Chloroflexi,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
17218,3787,57.72,0.247457,1,1,0.0824856,1,1,0.329942,1,1,0.412153,1,1,0.412428,1,1,4.49546,5,5,2.59087,3,3,3.96041,4,4,1.06461,2,2,13.5958,1.51064,-0.22942362117355,0.109869576200456,-0.388270904751373,-0.178815241714926,0.0216428098180988,-0.219009653365,0.113290606873,-0.37929668143,-0.150362727025,0.0410275158264,Chloroflexi,2,Chloroflexi,NA,-1,NA,0,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
34370,2969,64.61,0.212841,1,1,0,0,0,0.212841,1,1,0.372472,1,1,0.212841,1,1,6.42852,7,7,2.95601,3,3,3.33984,4,4,1.71444,2,2,15.4498,1.71664,-0.189197887822834,0.129275898911658,-0.0985110361488041,0.0530661789506467,0.33909508985344,-0.177329918286,0.16619816961,-0.0930360016077,0.060356403754,0.346872635299,Chloroflexi,2,Chloroflexi,Chloroflexi,2,Chloroflexi,1,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
40599,2750,69.09,5.43231,6,6,7.08423,8,8,5.56269,6,6,9.28346,10,10,15.0015,16,16,38.3308,41,40,5.87615,6,6,4.065,5,5,5.83308,6,6,96.4692,10.7188,0.145794303974379,-0.200924337860108,-0.269958161994055,-0.203566581842533,0.50563170677004,0.156107962343,-0.15124720681,-0.264792409501,-0.180465459994,0.511558468861,NaRef,NaRef,NaRef,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
38216,5169,59.65,5.95696,6,6,7.32536,8,8,4.67444,5,5,9.09683,10,10,15.6473,16,16,36.4479,38,38,7.40964,8,8,5.19705,6,6,7.35047,8,8,99.106,11.01178,0.19114882785219,-0.201256286150258,-0.398273938260674,-0.19680813980842,0.067706693594051,0.197787697421,-0.15124720681,-0.37929668143,-0.180465459994,0.0880806111298,NaRef,NaRef,NaRef,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
15190,5091,63.6,6.41571,7,7,7.38636,8,8,5.18357,6,6,9.01518,10,10,16.0213,18,17,38.2368,41,40,7.7118,8,8,5.70249,6,6,6.87007,7,7,102.543,11.39367,0.155358529313757,-0.275909283995432,-0.294755265536169,-0.248387520395725,0.235423123558905,0.156107962343,-0.257062332283,-0.293418477483,-0.24067092593,0.252766444692,Firmicutes,5,Firmicutes;Actinobacteria;Firmicutes;Proteobacteria,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
16376,3770,50.08,44.5727,47,46,17.8887,18,18,10.1851,12,11,6.19641,7,7,5.17956,6,6,4.61298,5,5,0.280111,1,1,0.587017,1,1,0.920718,1,1,90.4232,10.04702,0.0505508343777677,-0.161473618315931,-0.288168482394243,0.282739957284993,0.214496651789702,0.0727484921855,-0.15124720681,-0.264792409501,0.301178267501,0.22923989704,Chloroflexi,2,Chloroflexi,Unclassified,0,Unclassified,1,143,11.408934571428574,60.8,k__Bacteria,86.17814508723599,1.0606060606060606,783
45383,5302,64.18,0.0582298,1,1,0.11646,1,1,2.67702,3,3,10.6879,12,11,16.9212,18,17,67.8866,70,68,1.421,2,2,1.26883,2,2,2.06231,3,3,103.099,11.45544,-0.17427703293548,0.107808719358124,-0.072138110789289,0.120643128740051,-0.489004463533304,-0.135650183208,0.113290606873,-0.0644099336255,0.150664602659,-0.476556532512,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,NA,-1,NA,0,140,10.70080381231671,66.1,f__Rhodocyclaceae,83.80384311400908,4.6853388658367905,0
28217,6474,51.67,47.9633,50,48,8.18374,9,9,3.95193,4,4,3.32068,4,4,2.68027,3,3,1.63662,2,2,0.662713,1,1,0.750949,1,1,2.00585,3,3,71.1561,7.90623,-0.031158311666688,-0.106835999589478,-0.314969202270258,0.0320483133544481,0.149396092004839,-0.0106109779718,-0.0983396440735,-0.293418477483,0.060356403754,0.158660254085,Chloroflexi,2,Chloroflexi;Chloroflexi,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
7422,2973,60.31,1.53277,2,2,1.37088,2,2,6.9791,7,7,8.1378,9,9,8.6819,9,9,35.9933,38,36,27.1569,29,28,21.2986,23,22,40.7131,41,42,151.864,16.87378,-0.276954237869281,0.152105416370994,0.00476526182221492,-0.266201671298901,0.176755925272594,-0.260689388444,0.16619816961,0.0214682703211,-0.24067092593,0.182186801737,NaRef,NaRef,NaRef,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
10130,7070,64.26,0.17341,1,1,0.0433526,1,1,0.650289,1,1,0.41185,1,1,0.346821,1,1,5.73772,6,6,2.87023,3,3,4.49436,5,5,1.60072,2,2,16.3288,1.81431,-0.158152008224239,0.0507750814198038,-0.248741092999925,0.000821959463719486,-0.14498390258075,-0.135650183208,0.0603830441365,-0.236166341519,0.0302536707855,-0.123658317736,NaRef,NaRef,NaRef,NA,-1,NA,0,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
17878,2728,33.86,45.2083,47,46,8.03879,9,9,6.37936,7,7,3.11288,4,4,3.35881,4,4,2.24127,3,3,1.04073,2,2,0.70481,1,1,2.56982,3,3,72.6548,8.07276,-0.0207355838937084,-0.184257872515201,-0.378913740174765,0.154302936421089,0.0281853326156995,-0.0106109779718,-0.15124720681,-0.350670613447,0.180767335628,0.0410275158264,NaRef,NaRef,NaRef,NA,-1,NA,0,122,7.259827744479497,61.1,k__Bacteria,44.98432601880877,3.4482758620689653,519
36786,3941,67.72,0.0791348,1,1,0.15827,1,1,0.593511,1,1,0.197837,1,1,0.118702,1,1,3.80876,4,4,3.28884,4,4,3.42733,4,4,2.13479,3,3,13.8072,1.53413,-0.124214210518332,0.0599181859140563,-0.207162923763571,0.116453393132706,0.0719412742678995,-0.0939704481291,0.0603830441365,-0.178914205554,0.120561869691,0.0880806111298,Chloroflexi,2,Chloroflexi;Chloroflexi;Chloroflexi,NA,-1,NA,0,47,1.649330405904059,66.6,k__Bacteria,87.27272727272727,4.545454545454546,2
43875,9539,67.96,3.43721,4,4,2.27649,3,3,10.6372,12,11,7.65374,8,8,5.64064,6,6,8.39493,9,9,0.911705,1,1,1.45543,2,2,0.372777,1,1,40.7802,4.53113,-0.0454066749990339,-0.254145913445964,-0.342907431875047,0.150845147945494,0.42178303446697,-0.0106109779718,-0.204154769547,-0.322044545465,0.180767335628,0.440978825906,NaRef,NaRef,NaRef,NA,-1,NA,0,93,4.106341798107255,59.8,k__Bacteria,90.9090909090909,1.5151515151515151,5
23699,2941,70.91,1.20853,2,2,0.842709,1,1,5.53995,6,6,7.98674,8,8,8.24436,9,9,31.1981,32,32,20.8237,23,22,16.5367,18,17,33.7356,35,34,126.116,14.01289,-0.275716460824212,0.0115070269540314,-0.012070770161507,-0.582452174407515,0.399533244336061,-0.260689388444,0.0603830441365,-0.00715779766113,-0.541698255615,0.417452278254,NaRef,NaRef,NaRef,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
15197,7291,56.7,1.80647,2,2,1.17491,2,2,6.88489,7,7,9.09593,10,10,8.19801,9,9,34.1458,35,36,24.8916,26,26,18.9125,20,19,39.7017,41,40,144.812,16.09022,-0.271956886935101,0.107688301929688,0.110427787106633,-0.426076266242211,0.309189036093962,-0.260689388444,0.113290606873,0.13597254225,-0.421287323741,0.323346087647,NaRef,NaRef,NaRef,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
32892,3260,65.3,0.0482315,1,1,1.19486,2,2,5.42669,6,6,14.5814,16,15,21.2797,23,22,71.3373,75,72,2.51415,3,3,1.8627,2,2,2.3881,3,3,120.633,13.40367,-0.122000887503463,0.120087102405851,-0.214990930524976,0.041671139403327,-0.409449231912525,-0.0939704481291,0.16619816961,-0.207540273537,0.060356403754,-0.405976889556,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,NA,-1,NA,0,140,10.70080381231671,66.1,f__Rhodocyclaceae,83.80384311400908,4.6853388658367905,0
18125,6571,66.57,5.1288,6,6,6.19203,7,7,5.18611,6,6,8.30774,9,9,16.8724,18,17,36.0198,38,38,6.21726,7,7,4.40103,5,5,5.2023,6,6,93.5275,10.39194,0.00538496326039179,-0.17984080551853,-0.455915742764871,-0.22865065990006,0.243454859399805,0.0310687571068,-0.15124720681,-0.436548817394,-0.210568192962,0.252766444692,Proteobacteria,1,Proteobacteria,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
12694,7629,40.32,1.02768,2,2,1.62455,2,2,7.06859,8,8,10.9492,12,11,10.5404,12,11,35.5015,38,36,27.0547,29,28,19.0913,20,20,43.5326,44,44,156.391,17.37678,-0.251918399918045,0.136287545933848,0.23868178789727,-0.361986119144164,0.20672229027778,-0.219009653365,0.16619816961,0.250476814179,-0.361081857804,0.22923989704,Proteobacteria,1,Proteobacteria;Proteobacteria,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
2577,40669,57.64,1.71028,2,2,1.17454,2,2,6.00067,7,7,8.49784,9,9,8.96106,9,9,35.1528,38,36,27.6421,29,28,20.357,23,22,42.992,44,44,152.488,16.94311,-0.289069282576047,0.192693971969249,0.110809027240466,-0.295450661175389,0.131312022547084,-0.260689388444,0.219105732346,0.13597254225,-0.270773658899,0.135133706433,NaRef,NaRef,NaRef,Unclassified,0,Unclassified,3,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
44829,64558,62.25,2.82853,3,3,1.83174,2,2,11.0261,12,12,6.74471,7,7,5.56417,6,6,7.13952,8,8,0.817041,1,1,1.40205,2,2,0.229009,1,1,37.5828,4.17587,0.0725267799742305,-0.360643451569954,-0.200922421372727,0.187288795539792,0.257307713016493,0.0727484921855,-0.30996989502,-0.178914205554,0.210870068596,0.276292992344,Firmicutes,5,Firmicutes;Firmicutes;Proteobacteria;Firmicutes;Spirochaetes;Spirochaetes;Spirochaetes;Actinobacteria;Firmicutes;Proteobacteria;Firmicutes;Firmicutes;Proteobacteria;Proteobacteria;Firmicutes;Chloroflexi,NA,-1,NA,0,93,4.106341798107255,59.8,k__Bacteria,90.9090909090909,1.5151515151515151,5
31183,4556,70.18,1.798,2,2,0.705175,1,1,4.97549,5,5,6.85452,7,7,8.3729,9,9,29.9128,32,30,22.6623,23,24,16.4505,18,17,36.6886,38,38,128.42,14.26889,-0.269942950751928,0.126098651972108,0.273569312648059,-0.502415281969175,0.178532838912276,-0.260689388444,0.16619816961,0.279102882161,-0.481492789678,0.182186801737,Gemmatimonadetes,787,Gemmatimonadetes,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
51685,10982,68.94,10.1285,12,11,6.82736,7,7,41.1355,44,42,33.4647,35,34,14.0598,16,15,11.954,12,12,5.18565,6,6,3.3918,4,4,7.77206,8,8,133.919,14.87989,-0.239620592648782,-0.0566403564499712,-0.167111946764116,-0.261955995335193,-0.24842809054703,-0.219009653365,-0.0454320813368,-0.150288137572,-0.24067092593,-0.241291055994,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria,NA,-1,NA,0,147,16.285995789473684,69.2,c__Gammaproteobacteria,89.2899061032864,1.4964788732394365,0
15451,5158,68.87,5.26438,6,6,8.86322,9,9,6.21945,7,7,10.4087,12,11,15.6498,16,16,38.6116,41,40,8.52776,9,9,5.34924,6,6,6.40755,7,7,105.302,11.70022,0.108322069621363,-0.376919859373808,-0.416476633250565,-0.383188118476748,0.363088632076194,0.114428227264,-0.362877457757,-0.407922749412,-0.361081857804,0.370399182951,Chloroflexi,2,Chloroflexi,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
50758,4619,64.74,1.46632,2,2,0.730588,1,1,6.96957,7,7,11.1705,12,12,10.2994,12,11,37.8445,38,38,33.7879,35,34,21.5693,23,22,51.3426,55,52,175.181,19.46456,-0.311266637740346,0.196419076812699,0.131619208132251,-0.333326198171763,0.177984923855426,-0.302369123522,0.219105732346,0.13597254225,-0.330979124836,0.182186801737,Proteobacteria,1,Proteobacteria;Proteobacteria;Proteobacteria;Actinobacteria,NA,-1,NA,0,146,16.246656549450552,70.3,k__Bacteria,90.530058177117,3.2967032967032965,0
39234,3870,69.66,6.7793,7,7,7.0457,8,8,4.89946,5,5,10.6207,12,11,18.4876,20,19,33.2116,35,34,4.94005,5,5,3.5836,4,4,6.42688,7,7,95.9949,10.6661,-0.0922563827630625,-0.371806198399146,-0.444470823491513,-0.251724037906681,0.130275924565819,-0.0522907130505,-0.362877457757,-0.436548817394,-0.24067092593,0.135133706433,Actinobacteria,4,Actinobacteria,NA,-1,NA,0,141,10.764908641358636,57.5,k__Bacteria,81.41414141414143,4.7272727272727275,0
